,0
Original_Min,79
Original_MW_Linienbreite,38
Original_ST_Linienbreite,38
DFT_Median_ST_Linienbreite,37
DFT_Median_Max,34
DFT_Median_Bereich,34
DFT_Median_MW_Linienbreite,34
Sobel_kont_ST_Linienbreite,31
Sobel_kont_Bereich,29
Sobel_kont_Max,29
Original_Bereich,26
Original_Max,26
DFT_Median_Min,23
Ra_Messlinienlange,19
Ra_ganz,18
DFT_Median_sobel_Min,18
Rq_Messlinienlange,18
Ra_ohneRand,18
Rz_Messlinienlange,16
Rq_ohneRand,16
Sobel_kont_MW_Linienbreite,16
Rq_ganz,15
Sobel_ST_Linienbreite,14
Rz_ohneRand,13
Rt_Messlinienlange,13
DFT_Median_sobel_Max,11
Sobel_Max,11
Sobel_Bereich,11
Rt_ohneRand,10
Rz_ganz,9
DFT_Median_sobel_Bereich,9
Sobel_MW_Linienbreite,7
Rt_ganz,6
Sobel_kont_Linienanzahl,6
DFT_Median_sobel_ST_Linienbreite,6
DFT_Median_sobel_MW_Linienbreite,5
Original_Linienanzahl,1
Sobel_Linienanzahl,1
Sobel_Min,0
Sobel_kont_Min,0
DFT_Median_Linienanzahl,0
DFT_Median_sobel_Linienanzahl,0
